id,codigo,descricao,quantidadeEnviada,precoEnviado,promocaoEnviado,grade,quantidadeRecebida,precoRecebido,promocaoRecebido
23776930,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,27,6,600.9,300.9
23776931,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,17,6,600.9,300.9
23776928,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,28,6,600.9,300.9
23776929,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,12,6,600.9,300.9
,02028,[Erro]Produto com codigo 02028 não encontrado.,2,1226.9,4050.9,,,,
23776934,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,18,6,600.9,300.9
23776932,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,20,6,600.9,300.9
23776933,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,19,6,600.9,300.9
23776922,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,23,6,600.9,300.9
23776923,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,10,6,600.9,300.9
23776920,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,25,6,600.9,300.9
23776921,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,24,6,600.9,300.9
23776926,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,26,6,600.9,300.9
23774714,12597,RELÓGIO EURO FEMININO EU2035LXM/4D,0,520.9,204.9,,0,520.9,204.9
23776927,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,13,6,600.9,300.9
23776924,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,15,6,600.9,300.9
23776925,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,14,6,600.9,300.9
23776918,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,16,6,600.9,300.9
23776919,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,22,6,600.9,300.9
23776916,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,11,6,600.9,300.9
23776917,00854,Anel 7 Aros Ouro 18k,6,600.9,300.9,21,6,600.9,300.9
